id|common_name|sci_name|pict_url|date_obs|latitude|longitude|precision|continent|country|state_region|code_country|url
1580100|Poison Hemlock|Conium maculatum|https://inaturalist-open-data.s3.amazonaws.com/photos/1951772/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580100
1580101|Prairie Larkspur|Delphinium carolinianum ssp. virescens||01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580101
1580102|||||0.0|0.0||||||https://www.inaturalist.org/observations/1580102
1580103|||||0.0|0.0||||||https://www.inaturalist.org/observations/1580103
1580104|Russian Olive|Elaeagnus angustifolia|https://inaturalist-open-data.s3.amazonaws.com/photos/1951778/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580104
1580105|Prairie Sunflower|Helianthus petiolaris||01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580105
1580106|Yellow Mud Turtle|Kinosternon flavescens||01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580106
1580107|Alfalfa|Medicago sativa||01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580107
1580108|Red Admiral|Vanessa atalanta|https://static.inaturalist.org/photos/1951785/large.jpg|26/05/2015|32.057582|-96.516236|12m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580108
1580109|Common Snapping Turtle|Chelydra serpentina||26/05/2015|32.057648|-96.516781|9m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580109
1580110|Monarch|Danaus plexippus||30/05/2015|32.139244|-96.43416|36m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580110
1580111|Two-lined Spittlebug|Prosapia bicincta||30/05/2015|32.141125|-96.437423|8m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580111
1580112|Northern Bobwhite|Colinus virginianus|https://static.inaturalist.org/photos/1997562/large.jpg|02/06/2015|32.137481|-96.428767|15m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580112
1580113|Prairie Pricklypear|Opuntia macrorhiza|https://inaturalist-open-data.s3.amazonaws.com/photos/1951786/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580113
1580114|Common Raccoon|Procyon lotor|https://inaturalist-open-data.s3.amazonaws.com/photos/1951789/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580114
1580115|Seven-spotted Lady Beetle|Coccinella septempunctata|https://inaturalist-open-data.s3.amazonaws.com/photos/1951790/large.JPG|26/05/2015|32.883419|-97.280136|8m|North America|United States|Texas|US|https://www.inaturalist.org/observations/1580115
1580116|Lesser Stitchwort|Stellaria graminea||23/06/2015|44.279424|-72.483621|27.35km|North America|United States|Vermont|US|https://www.inaturalist.org/observations/1580116
1580117|Snowy Plover|Charadrius nivosus|https://inaturalist-open-data.s3.amazonaws.com/photos/1951791/large.JPG|23/06/2015|38.131786|-98.577935|28.29km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580117
1580118|Scarlet Globemallow|Sphaeralcea coccinea|https://inaturalist-open-data.s3.amazonaws.com/photos/1951794/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580118
1580119|Baldhip Rose|Rosa gymnocarpa|https://inaturalist-open-data.s3.amazonaws.com/photos/1951798/large.jpg|02/06/2015|35.614475|-121.145826|7m|North America|United States|California|US|https://www.inaturalist.org/observations/1580119
1580120|Redwood Sorrel|Oxalis oregana|https://inaturalist-open-data.s3.amazonaws.com/photos/1951805/large.jpg|02/06/2015|35.602155|-121.131451|13m|North America|United States|California|US|https://www.inaturalist.org/observations/1580120
1580121|Rural Skipper|Ochlodes agricola||02/06/2015|35.594164|-121.125195|7m|North America|United States|California|US|https://www.inaturalist.org/observations/1580121
1580122|Dragonflies and Damselflies|Order Odonata|https://inaturalist-open-data.s3.amazonaws.com/photos/1951850/large.jpg|02/06/2015|35.57569|-121.112133|14m|North America|United States|California|US|https://www.inaturalist.org/observations/1580122
1580123|Greater Bee Flies|Genus Bombylius|https://inaturalist-open-data.s3.amazonaws.com/photos/1951853/large.jpg|01/06/2015|35.569039|-121.10413|20m|North America|United States|California|US|https://www.inaturalist.org/observations/1580123
1580124|Milkmaids|Cardamine californica|https://inaturalist-open-data.s3.amazonaws.com/photos/1951854/large.jpg|02/06/2015|35.568653|-121.102228|12m|North America|United States|California|US|https://www.inaturalist.org/observations/1580124
1580125|Common Dandelion|Taraxacum officinale|https://inaturalist-open-data.s3.amazonaws.com/photos/1951795/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580125
1580126|Wilson's Phalarope|Phalaropus tricolor|https://inaturalist-open-data.s3.amazonaws.com/photos/1951796/large.JPG|01/06/2015|38.166975|-98.495223|12.3km|North America|United States|Kansas|US|https://www.inaturalist.org/observations/1580126
1580127|Shining Leaf Chafers|Subfamily Rutelinae|https://inaturalist-open-data.s3.amazonaws.com/photos/1951797/large.jpg|25/05/2015|19.533331|-96.910524|Not recorded|North America|Mexico|Veracruz|MX|https://www.inaturalist.org/observations/1580127
1580128|Summer Bluet|Houstonia purpurea||02/06/2015|37.056104|-84.529262|13m|North America|United States|Kentucky|US|https://www.inaturalist.org/observations/1580128
1580129|Barn Swallow|Hirundo rustica||18/05/2013|20.69985|-103.976732|Not recorded|North America|Mexico|Jalisco|MX|https://www.inaturalist.org/observations/1580129
1580130|Harsh Indian Paintbrush|Castilleja hispida|https://inaturalist-open-data.s3.amazonaws.com/photos/1951806/large.JPG|18/07/2013|48.914603|-121.644187|43m|North America|United States|Washington|US|https://www.inaturalist.org/observations/1580130
1580131|Great Basin Fence Lizard|Sceloporus occidentalis ssp. longipes||02/06/2015|34.034689|-118.044491|5m|North America|United States|California|US|https://www.inaturalist.org/observations/1580131
1580132|Common Green Darner|Anax junius|https://inaturalist-open-data.s3.amazonaws.com/photos/1951809/large.jpg|31/05/2015|37.324842|-76.011007|1.1km|North America|United States|Virginia|US|https://www.inaturalist.org/observations/1580132
1580133|Great Egret|Ardea alba||18/05/2013|20.677102|-103.843957|Not recorded|North America|Mexico|Jalisco|MX|https://www.inaturalist.org/observations/1580133
1580134|Orange Virbia Moth|Virbia aurantiaca|https://static.inaturalist.org/photos/1951816/large.jpg|17/05/2015|37.462513|-77.605263|191m|North America|United States|Virginia|US|https://www.inaturalist.org/observations/1580134
1580135|West Indian Mahogany|Swietenia mahagoni||23/04/2015|17.032952|-62.789492|30.76km|North America|Saint Kitts and Nevis|Saint Thomas Lowland|KN|https://www.inaturalist.org/observations/1580135
1580137|Soldier Flies|Family Stratiomyidae||25/05/2015|19.532117|-96.909212|Not recorded|North America|Mexico|Veracruz|MX|https://www.inaturalist.org/observations/1580137
